in s,C1 in V,C2 in V
6.752240E-05,1.83252E+00,2.97510E+00
6.752320E-05,1.81787E+00,2.94580E+00
6.752400E-05,1.82275E+00,2.96533E+00
6.752480E-05,1.81787E+00,2.96045E+00
6.752560E-05,1.82764E+00,2.97510E+00
6.752640E-05,1.82275E+00,2.96533E+00
6.752720E-05,1.83740E+00,2.96045E+00
6.752800E-05,1.83740E+00,2.96045E+00
6.752880E-05,1.83252E+00,2.98486E+00
6.752960E-05,1.80811E+00,2.94580E+00
6.753040E-05,1.81787E+00,2.95557E+00
6.753120E-05,1.79346E+00,2.95068E+00
6.753200E-05,1.80811E+00,2.94580E+00
6.753280E-05,1.80322E+00,2.95068E+00
6.753360E-05,1.83740E+00,2.97021E+00
6.753440E-05,1.82275E+00,2.95068E+00
6.753520E-05,1.81299E+00,2.95068E+00
6.753600E-05,1.78857E+00,2.94092E+00
6.753680E-05,1.82275E+00,2.96533E+00
6.753760E-05,1.82275E+00,2.97510E+00
6.753840E-05,1.81787E+00,2.96533E+00
6.753920E-05,1.81299E+00,2.95068E+00
6.754000E-05,1.82764E+00,2.96045E+00
6.754080E-05,1.79834E+00,2.98486E+00
6.754160E-05,1.81299E+00,2.97510E+00
6.754240E-05,1.79834E+00,2.95068E+00
6.754320E-05,1.80811E+00,2.96045E+00
6.754400E-05,1.79346E+00,2.97021E+00
6.754480E-05,1.80322E+00,2.98486E+00
6.754560E-05,1.82764E+00,2.95068E+00
6.754640E-05,1.82764E+00,2.96533E+00
6.754720E-05,1.80322E+00,2.97021E+00
6.754800E-05,1.82275E+00,2.95557E+00
6.754880E-05,1.78857E+00,2.94092E+00
6.754960E-05,1.79834E+00,2.96533E+00
6.755040E-05,1.80322E+00,2.96533E+00
6.755120E-05,1.80322E+00,2.97510E+00
6.755200E-05,1.79346E+00,2.98486E+00
6.755280E-05,1.81787E+00,2.97510E+00
6.755360E-05,1.81299E+00,2.97021E+00
6.755440E-05,1.80811E+00,2.96533E+00
6.755520E-05,1.78857E+00,2.96045E+00
6.755600E-05,1.79834E+00,2.96533E+00
6.755680E-05,1.80322E+00,2.97998E+00
6.755760E-05,1.79834E+00,2.96533E+00
6.755840E-05,1.81299E+00,2.97510E+00
6.755920E-05,1.80811E+00,2.98486E+00
6.756000E-05,1.78857E+00,2.97021E+00
6.756080E-05,1.80322E+00,2.97998E+00
6.756160E-05,1.78857E+00,2.95068E+00
6.756240E-05,1.79346E+00,2.98486E+00
6.756320E-05,1.79834E+00,2.97021E+00
6.756400E-05,1.81299E+00,2.98975E+00
6.756480E-05,1.78857E+00,2.97021E+00
6.756560E-05,1.81787E+00,2.97510E+00
6.756640E-05,1.80322E+00,2.97998E+00
6.756720E-05,1.80811E+00,2.97998E+00
6.756800E-05,1.77881E+00,2.95068E+00
6.756880E-05,1.80322E+00,2.97021E+00
6.756960E-05,1.79834E+00,2.96533E+00
6.757040E-05,1.79834E+00,2.98975E+00
6.757120E-05,1.79834E+00,2.97998E+00
6.757200E-05,1.79346E+00,2.97998E+00
6.757280E-05,1.79346E+00,2.97021E+00
6.757360E-05,1.80322E+00,2.97998E+00
6.757440E-05,1.77881E+00,2.97510E+00
6.757520E-05,1.79346E+00,2.97998E+00
6.757600E-05,1.77393E+00,2.97021E+00
6.757680E-05,1.79346E+00,2.98486E+00
6.757760E-05,1.79834E+00,2.97021E+00
6.757840E-05,1.80811E+00,2.97998E+00
6.757920E-05,1.78857E+00,2.98486E+00
6.758000E-05,1.80811E+00,2.98486E+00
6.758080E-05,1.79346E+00,2.96533E+00
6.758160E-05,1.79346E+00,2.97510E+00
