"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-02-28",
"Time","13:21:21",
"Comment","",

"Meas. Place",,"3",,
"Type",,"Fall Time",,
"Source 1",,"C2",,
"Source 2",,,,
"Unit",,s,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,3121,,
"Current",,8.910400e-06,,
"Average No.",,1.000000e+03,,
"Min",,1.771200e-06,,
"Max",,1.937120e-05,,
"Mean",,6.881824e-06,,
"StdDev",,2.402035e-06,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,2.240000e-08,,
"Long term Max",,4.821280e-05,,
"Long term Mean",,4.801982e-06,,
"Long term StdDev",,3.730531e-06,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
493,,5.475200e-06,
494,,1.169120e-05,
495,,5.425600e-06,
496,,5.308800e-06,
497,,5.332800e-06,
498,,5.292800e-06,
499,,5.292800e-06,
500,,5.419200e-06,
501,,1.212480e-05,
502,,5.412800e-06,
503,,5.449600e-06,
504,,5.416000e-06,
505,,5.273600e-06,
506,,5.328000e-06,
507,,5.276800e-06,
508,,5.369600e-06,
509,,5.329600e-06,
510,,5.449600e-06,
511,,5.356800e-06,
512,,5.436800e-06,
513,,1.197440e-05,
514,,5.193600e-06,
515,,5.462400e-06,
516,,5.443200e-06,
517,,5.368000e-06,
518,,5.372800e-06,
519,,5.264000e-06,
520,,1.205440e-05,
521,,1.197440e-05,
522,,5.465600e-06,
523,,5.414400e-06,
524,,5.350400e-06,
525,,1.176800e-05,
526,,5.425600e-06,
527,,5.315200e-06,
528,,5.292800e-06,
529,,5.304000e-06,
530,,5.331200e-06,
531,,1.183200e-05,
532,,5.276800e-06,
533,,5.344000e-06,
534,,5.320000e-06,
535,,5.315200e-06,
536,,5.443200e-06,
537,,5.446400e-06,
538,,5.331200e-06,
539,,5.432000e-06,
540,,1.201280e-05,
541,,5.427200e-06,
542,,5.307200e-06,
543,,5.283200e-06,
544,,1.177440e-05,
545,,1.187040e-05,
546,,5.478400e-06,
547,,5.353600e-06,
548,,5.334400e-06,
549,,5.454400e-06,
550,,5.254400e-06,
551,,5.284800e-06,
552,,5.484800e-06,
553,,5.473600e-06,
554,,5.387200e-06,
555,,5.428800e-06,
556,,5.452800e-06,
557,,5.307200e-06,
558,,5.321600e-06,
559,,5.432000e-06,
560,,5.465600e-06,
561,,5.449600e-06,
562,,1.191520e-05,
563,,5.476800e-06,
564,,5.324800e-06,
565,,5.280000e-06,
566,,5.454400e-06,
567,,5.427200e-06,
568,,5.377600e-06,
569,,5.435200e-06,
570,,5.395200e-06,
571,,5.433600e-06,
572,,5.457600e-06,
573,,5.296000e-06,
574,,5.456000e-06,
575,,5.372800e-06,
576,,5.326400e-06,
577,,5.254400e-06,
578,,5.304000e-06,
579,,5.337600e-06,
580,,5.484800e-06,
581,,5.321600e-06,
582,,5.315200e-06,
583,,5.326400e-06,
584,,5.307200e-06,
585,,1.159520e-05,
586,,5.456000e-06,
587,,5.296000e-06,
588,,5.300800e-06,
589,,5.465600e-06,
590,,1.180640e-05,
591,,5.318400e-06,
592,,1.193600e-05,
593,,1.172480e-05,
594,,5.328000e-06,
595,,5.430400e-06,
596,,5.297600e-06,
597,,5.424000e-06,
598,,5.430400e-06,
599,,5.390400e-06,
600,,5.368000e-06,
601,,1.208000e-05,
602,,5.464000e-06,
603,,5.417600e-06,
604,,5.425600e-06,
