A_23 = 3.5577E-03, Δφ_23 = -1.2875E+00
A_24 = 2.9710E-03, Δφ_24 = -6.0906E-01
A_25 = 3.0769E-03, Δφ_25 = -1.3338E+00
A_26 = 6.4002E-03, Δφ_26 = -1.6917E+00
A_27 = 6.1053E-03, Δφ_27 = -2.1329E+00
A_28 = 4.2917E-03, Δφ_28 = 2.4172E+00
A_29 = 8.2785E-03, Δφ_29 = -1.0655E+00
A_30 = 5.1267E-03, Δφ_30 = -2.4133E+00
A_31 = 2.7444E-03, Δφ_31 = -7.1387E-01
A_32 = 3.3177E-03, Δφ_32 = 2.1673E+00
A_33 = 6.6225E-03, Δφ_33 = -1.6878E+00
A_34 = 3.9630E-03, Δφ_34 = -1.9451E+00
A_35 = 4.9285E-03, Δφ_35 = 2.5256E-01
A_36 = 1.6292E-03, Δφ_36 = -5.8952E-01
A_37 = 1.0379E-02, Δφ_37 = -1.2342E+00
A_38 = 4.6758E-03, Δφ_38 = -2.1119E+00
A_39 = 3.9246E-03, Δφ_39 = -1.9021E+00
A_40 = 1.5610E-03, Δφ_40 = -7.2490E-01
A_41 = 1.6861E-03, Δφ_41 = -1.5075E+00
A_42 = 2.0380E-03, Δφ_42 = -1.9736E+00
A_43 = 4.4556E-03, Δφ_43 = -2.5018E+00
A_44 = 3.3749E-03, Δφ_44 = -5.4505E-01
A_45 = 3.6467E-03, Δφ_45 = -2.3031E+00
A_46 = 5.0313E-03, Δφ_46 = -1.7840E+00
A_47 = 4.6431E-03, Δφ_47 = -1.3272E+00
A_48 = 9.5812E-04, Δφ_48 = -2.8406E+00
A_49 = 0.0000E+00, Δφ_49 = 0.0000E+00
A_0 = 1.1270E+02, Δφ_0 = -0.0000E+00
A_1 = 5.9840E+00, Δφ_1 = 2.1816E+00
A_2 = 2.3027E+00, Δφ_2 = 1.9577E+00
A_3 = 1.5641E+00, Δφ_3 = 1.4850E+00
A_4 = 1.1425E+01, Δφ_4 = 1.7883E+00
A_5 = 1.0755E+00, Δφ_5 = 1.6797E+00
A_6 = 9.9003E-01, Δφ_6 = 1.8331E+00
A_7 = 7.5185E-01, Δφ_7 = 1.7700E+00
A_8 = 6.8647E-01, Δφ_8 = 1.6759E+00
A_9 = 6.3858E-01, Δφ_9 = 1.6791E+00
A_10 = 5.8593E-01, Δφ_10 = 1.6233E+00
A_11 = 5.2372E-01, Δφ_11 = 1.6875E+00
A_12 = 4.1034E-01, Δφ_12 = 8.0282E-01
A_13 = 4.4381E-01, Δφ_13 = 1.6384E+00
A_14 = 4.2170E-01, Δφ_14 = 1.6342E+00
A_15 = 3.9179E-01, Δφ_15 = 1.6584E+00
A_16 = 3.5895E-01, Δφ_16 = 1.6596E+00
A_17 = 3.3474E-01, Δφ_17 = 1.6401E+00
A_18 = 3.1359E-01, Δφ_18 = 1.6156E+00
A_19 = 3.0824E-01, Δφ_19 = 1.6131E+00
A_20 = 2.5436E-01, Δφ_20 = 1.7186E+00
A_21 = 2.7249E-01, Δφ_21 = 1.6138E+00
A_22 = 2.6757E-01, Δφ_22 = 1.6212E+00
A_23 = 2.5198E-01, Δφ_23 = 1.6308E+00
A_24 = 2.4705E-01, Δφ_24 = 1.6115E+00
A_25 = 2.3083E-01, Δφ_25 = 1.5915E+00
A_26 = 2.1445E-01, Δφ_26 = 1.6067E+00
A_27 = 2.1865E-01, Δφ_27 = 1.6157E+00
A_28 = 2.1184E-01, Δφ_28 = 1.6771E+00
A_29 = 1.9819E-01, Δφ_29 = 1.6253E+00
A_30 = 1.8929E-01, Δφ_30 = 1.5819E+00
A_31 = 1.8883E-01, Δφ_31 = 1.6346E+00
A_32 = 1.7615E-01, Δφ_32 = 1.6028E+00
A_33 = 1.7691E-01, Δφ_33 = 1.6002E+00
A_34 = 1.6943E-01, Δφ_34 = 1.6131E+00
A_35 = 1.6972E-01, Δφ_35 = 1.6341E+00
A_36 = 1.6046E-01, Δφ_36 = 1.5842E+00
A_37 = 1.5790E-01, Δφ_37 = 1.6044E+00
A_38 = 1.5056E-01, Δφ_38 = 1.6333E+00
A_39 = 1.5079E-01, Δφ_39 = 1.6425E+00
A_40 = 1.4610E-01, Δφ_40 = 1.6158E+00
A_41 = 1.4510E-01, Δφ_41 = 1.5726E+00
A_42 = 1.3691E-01, Δφ_42 = 1.5930E+00
A_43 = 1.3474E-01, Δφ_43 = 1.5798E+00
A_44 = 1.3385E-01, Δφ_44 = 1.6051E+00
A_45 = 1.2734E-01, Δφ_45 = 1.5951E+00
A_46 = 1.3077E-01, Δφ_46 = 1.6004E+00
A_47 = 1.1500E-01, Δφ_47 = 1.5920E+00
A_48 = 1.1936E-01, Δφ_48 = 1.5714E+00
A_49 = 0.0000E+00, Δφ_49 = 0.0000E+00
A_0 = 1.0334E+02, Δφ_0 = -0.0000E+00
A_1 = 2.3671E-01, Δφ_1 = 8.4954E-01
A_2 = 1.1260E-01, Δφ_2 = -1.4376E+00
A_3 = 3.1126E-01, Δφ_3 = -1.1450E+00
A_4 = 1.7612E+01, Δφ_4 = 2.2339E+00
A_5 = 5.6238E-02, Δφ_5 = -2.3556E+00
A_6 = 1.5590E-01, Δφ_6 = -1.0303E+00
A_7 = 8.1115E-02, Δφ_7 = -8.3808E-01
A_8 = 1.5054E-01, Δφ_8 = -8.9329E-01
A_9 = 8.3412E-02, Δφ_9 = -1.3579E+00
A_10 = 6.3107E-02, Δφ_10 = -9.0700E-01
A_11 = 4.2029E-02, Δφ_11 = -1.5693E+00
A_12 = 8.7600E-01, Δφ_12 = 3.6971E-02
A_13 = 3.2363E-02, Δφ_13 = -1.0988E+00
A_14 = 3.8875E-02, Δφ_14 = -1.7102E+00
A_15 = 3.9311E-02, Δφ_15 = -1.4045E+00
A_16 = 6.3183E-02, Δφ_16 = -1.9085E+00
A_17 = 3.5053E-02, Δφ_17 = -1.5617E+00
A_18 = 3.5212E-02, Δφ_18 = -1.5204E+00
A_19 = 2.6866E-02, Δφ_19 = -1.3394E+00
A_20 = 1.6104E-01, Δφ_20 = -1.3549E+00
A_21 = 2.7276E-02, Δφ_21 = -1.3627E+00
A_22 = 2.0703E-02, Δφ_22 = -1.7143E+00
A_23 = 2.4136E-02, Δφ_23 = -1.5416E+00
A_24 = 2.3916E-02, Δφ_24 = -2.2011E+00
A_25 = 2.0909E-02, Δφ_25 = -1.5631E+00
A_26 = 1.8868E-02, Δφ_26 = -1.6057E+00
A_27 = 2.0837E-02, Δφ_27 = -1.5584E+00
A_28 = 4.2779E-02, Δφ_28 = -2.1256E+00
A_29 = 2.2062E-02, Δφ_29 = -1.6266E+00
A_30 = 1.5164E-02, Δφ_30 = -1.3672E+00
A_31 = 1.0532E-02, Δφ_31 = -1.3938E+00
A_32 = 1.3315E-02, Δφ_32 = -1.5991E+00
A_33 = 1.6277E-02, Δφ_33 = -1.5172E+00
A_34 = 1.5316E-02, Δφ_34 = -1.4613E+00
A_35 = 1.5523E-02, Δφ_35 = -1.5513E+00
A_36 = 1.1272E-02, Δφ_36 = -1.7407E+00
A_37 = 1.3426E-02, Δφ_37 = -1.4772E+00
A_38 = 1.2351E-02, Δφ_38 = -1.6857E+00
A_39 = 1.1875E-02, Δφ_39 = -1.7107E+00
A_40 = 1.0318E-02, Δφ_40 = -1.6023E+00
A_41 = 1.5992E-02, Δφ_41 = -1.6083E+00
A_42 = 1.3106E-02, Δφ_42 = -1.7660E+00
A_43 = 8.0179E-03, Δφ_43 = -1.3781E+00
A_44 = 1.3383E-02, Δφ_44 = -1.6181E+00
A_45 = 1.1366E-02, Δφ_45 = -1.3536E+00
A_46 = 1.4159E-02, Δφ_46 = -1.3642E+00
A_47 = 1.4478E-02, Δφ_47 = -1.4803E+00
A_48 = 1.5430E-02, Δφ_48 = -1.3257E+00
A_49 = 0.0000E+00, Δφ_49 = 0.0000E+00
A_0 = 1.0418E+02, Δφ_0 = -0.0000E+00
A_1 = 9.8499E-01, Δφ_1 = -3.0642E+00
A_2 = 3.7131E-01, Δφ_2 = 1.4688E+00
A_3 = 5.6059E-01, Δφ_3 = 1.6344E+00
