in Hz,Spectrum in dBm
8.10049E+03,-3.22856E+01
8.11198E+03,-4.26056E+01
8.12347E+03,-3.86256E+01
8.13496E+03,-3.10056E+01
8.14645E+03,-2.78256E+01
8.15794E+03,-2.65056E+01
8.16943E+03,-2.65456E+01
8.18092E+03,-2.79256E+01
8.19241E+03,-3.12656E+01
8.20390E+03,-3.94656E+01
8.21539E+03,-4.21256E+01
8.22688E+03,-3.20656E+01
8.23837E+03,-2.82656E+01
8.24986E+03,-2.66056E+01
8.26135E+03,-2.63256E+01
8.27284E+03,-2.73456E+01
8.28433E+03,-3.00256E+01
8.29582E+03,-3.60256E+01
8.30731E+03,-5.33056E+01
8.31880E+03,-3.41656E+01
8.33029E+03,-2.93456E+01
8.34178E+03,-2.72256E+01
8.35327E+03,-2.66056E+01
8.36476E+03,-2.73056E+01
8.37625E+03,-2.95456E+01
8.38774E+03,-3.45056E+01
8.39923E+03,-5.51056E+01
8.41072E+03,-3.62456E+01
8.42221E+03,-3.04056E+01
8.43370E+03,-2.78656E+01
8.44519E+03,-2.70056E+01
8.45668E+03,-2.74856E+01
8.46817E+03,-2.94656E+01
8.47966E+03,-3.39456E+01
8.49115E+03,-4.79256E+01
8.50264E+03,-3.71056E+01
8.51413E+03,-3.07256E+01
8.52562E+03,-2.79256E+01
8.53711E+03,-2.68256E+01
8.54860E+03,-2.70456E+01
8.56009E+03,-2.86256E+01
8.57158E+03,-3.22256E+01
8.58307E+03,-4.12056E+01
8.59456E+03,-4.08256E+01
8.60605E+03,-3.22056E+01
8.61754E+03,-2.87856E+01
8.62903E+03,-2.73656E+01
8.64052E+03,-2.73256E+01
8.65201E+03,-2.87056E+01
8.66350E+03,-3.20456E+01
8.67499E+03,-4.05056E+01
8.68648E+03,-4.23456E+01
8.69797E+03,-3.24656E+01
8.70946E+03,-2.87056E+01
8.72095E+03,-2.70456E+01
8.73244E+03,-2.67456E+01
8.74393E+03,-2.77056E+01
8.75542E+03,-3.03056E+01
8.76691E+03,-3.60256E+01
8.77840E+03,-5.40256E+01
8.78989E+03,-3.50456E+01
8.80138E+03,-3.00656E+01
8.81287E+03,-2.78656E+01
8.82436E+03,-2.72456E+01
8.83585E+03,-2.79456E+01
8.84734E+03,-3.02056E+01
8.85883E+03,-3.53056E+01
8.87032E+03,-5.07856E+01
8.88181E+03,-3.58856E+01
8.89330E+03,-3.04056E+01
8.90479E+03,-2.79456E+01
8.91628E+03,-2.70656E+01
8.92777E+03,-2.74856E+01
