in s,C1 in V
-2.989344E-04,-6.90879E-01
-2.989344E-04,-6.71348E-01
-2.989296E-04,-6.90879E-01
-2.989296E-04,-6.51816E-01
-2.989248E-04,-6.95762E-01
-2.989248E-04,-6.66465E-01
-2.989200E-04,-7.00645E-01
-2.989200E-04,-6.76230E-01
-2.989152E-04,-7.00645E-01
-2.989152E-04,-6.56699E-01
-2.989104E-04,-6.85996E-01
-2.989104E-04,-6.56699E-01
-2.989056E-04,-7.00645E-01
-2.989056E-04,-6.66465E-01
-2.989008E-04,-6.85996E-01
-2.989008E-04,-6.56699E-01
-2.988960E-04,-6.81113E-01
-2.988960E-04,-6.56699E-01
-2.988912E-04,-6.81113E-01
-2.988912E-04,-6.66465E-01
-2.988864E-04,-6.85996E-01
-2.988864E-04,-6.61582E-01
-2.988816E-04,-6.95762E-01
-2.988816E-04,-6.61582E-01
-2.988768E-04,-6.85996E-01
-2.988768E-04,-6.66465E-01
-2.988720E-04,-7.00645E-01
-2.988720E-04,-6.66465E-01
-2.988672E-04,-7.00645E-01
-2.988672E-04,-6.71348E-01
-2.988624E-04,-6.90879E-01
-2.988624E-04,-6.76230E-01
-2.988576E-04,-7.00645E-01
-2.988576E-04,-6.71348E-01
-2.988528E-04,-6.81113E-01
-2.988528E-04,-6.66465E-01
-2.988480E-04,-6.95762E-01
-2.988480E-04,-6.71348E-01
-2.988432E-04,-6.90879E-01
-2.988432E-04,-6.71348E-01
-2.988384E-04,-6.90879E-01
-2.988384E-04,-6.61582E-01
-2.988336E-04,-6.85996E-01
-2.988336E-04,-6.66465E-01
-2.988288E-04,-6.95762E-01
-2.988288E-04,-6.66465E-01
-2.988240E-04,-6.85996E-01
-2.988240E-04,-6.71348E-01
-2.988192E-04,-6.85996E-01
-2.988192E-04,-6.66465E-01
-2.988144E-04,-7.00645E-01
-2.988144E-04,-6.66465E-01
-2.988096E-04,-6.85996E-01
-2.988096E-04,-6.71348E-01
-2.988048E-04,-6.85996E-01
-2.988048E-04,-6.66465E-01
-2.988000E-04,-6.95762E-01
-2.988000E-04,-6.66465E-01
-2.987952E-04,-6.95762E-01
-2.987952E-04,-6.56699E-01
-2.987904E-04,-6.90879E-01
-2.987904E-04,-6.81113E-01
-2.987856E-04,-6.95762E-01
-2.987856E-04,-6.71348E-01
-2.987808E-04,-6.95762E-01
-2.987808E-04,-6.71348E-01
-2.987760E-04,-7.00645E-01
-2.987760E-04,-6.66465E-01
-2.987712E-04,-7.00645E-01
-2.987712E-04,-6.56699E-01
-2.987664E-04,-6.90879E-01
-2.987664E-04,-6.56699E-01
-2.987616E-04,-7.00645E-01
-2.987616E-04,-6.66465E-01
-2.987568E-04,-6.85996E-01
-2.987568E-04,-6.66465E-01
-2.987520E-04,-6.90879E-01
-2.987520E-04,-6.66465E-01
-2.987472E-04,-6.90879E-01
-2.987472E-04,-6.61582E-01
-2.987424E-04,-6.85996E-01
-2.987424E-04,-6.61582E-01
-2.987376E-04,-6.90879E-01
-2.987376E-04,-6.71348E-01
-2.987328E-04,-6.95762E-01
-2.987328E-04,-6.61582E-01
-2.987280E-04,-6.90879E-01
-2.987280E-04,-6.61582E-01
-2.987232E-04,-6.90879E-01
-2.987232E-04,-6.61582E-01
-2.987184E-04,-6.85996E-01
-2.987184E-04,-6.76230E-01
-2.987136E-04,-6.81113E-01
-2.987136E-04,-6.61582E-01
-2.987088E-04,-6.90879E-01
-2.987088E-04,-6.66465E-01
-2.987040E-04,-6.90879E-01
-2.987040E-04,-6.71348E-01
-2.986992E-04,-6.90879E-01
-2.986992E-04,-6.66465E-01
-2.986944E-04,-6.90879E-01
-2.986944E-04,-6.66465E-01
-2.986896E-04,-6.95762E-01
-2.986896E-04,-6.66465E-01
-2.986848E-04,-6.95762E-01
-2.986848E-04,-6.66465E-01
-2.986800E-04,-6.95762E-01
-2.986800E-04,-6.56699E-01
-2.986752E-04,-6.81113E-01
-2.986752E-04,-6.66465E-01
-2.986704E-04,-6.85996E-01
-2.986704E-04,-6.61582E-01
-2.986656E-04,-6.85996E-01
-2.986656E-04,-6.66465E-01
-2.986608E-04,-6.81113E-01
-2.986608E-04,-6.71348E-01
-2.986560E-04,-6.85996E-01
-2.986560E-04,-6.66465E-01
-2.986512E-04,-6.90879E-01
-2.986512E-04,-6.66465E-01
-2.986464E-04,-7.05527E-01
-2.986464E-04,-6.66465E-01
-2.986416E-04,-7.05527E-01
-2.986416E-04,-6.76230E-01
-2.986368E-04,-6.85996E-01
-2.986368E-04,-6.66465E-01
-2.986320E-04,-6.85996E-01
-2.986320E-04,-6.71348E-01
-2.986272E-04,-6.95762E-01
-2.986272E-04,-6.66465E-01
-2.986224E-04,-7.00645E-01
-2.986224E-04,-6.66465E-01
-2.986176E-04,-7.00645E-01
-2.986176E-04,-6.71348E-01
-2.986128E-04,-6.85996E-01
-2.986128E-04,-6.71348E-01
-2.986080E-04,-6.95762E-01
-2.986080E-04,-6.76230E-01
-2.986032E-04,-6.85996E-01
-2.986032E-04,-6.61582E-01
-2.985984E-04,-6.95762E-01
-2.985984E-04,-6.66465E-01
-2.985936E-04,-6.85996E-01
-2.985936E-04,-6.66465E-01
-2.985888E-04,-6.85996E-01
-2.985888E-04,-6.61582E-01
-2.985840E-04,-6.81113E-01
-2.985840E-04,-6.71348E-01
-2.985792E-04,-6.95762E-01
-2.985792E-04,-6.51816E-01
-2.985744E-04,-7.00645E-01
-2.985744E-04,-6.71348E-01
-2.985696E-04,-7.00645E-01
-2.985696E-04,-6.61582E-01
-2.985648E-04,-6.85996E-01
-2.985648E-04,-6.61582E-01
-2.985600E-04,-6.95762E-01
-2.985600E-04,-6.56699E-01
-2.985552E-04,-6.95762E-01
-2.985552E-04,-6.66465E-01
